title,price,image
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,500GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",21978 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1387.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",22176 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5532_5583.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY",22374 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2528_7818.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",22671 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7426.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",22671 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5954_7734.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, BLACK",22869 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7338.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, BLACK",22869 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4625.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY",22869 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2528_7462.jpg
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 256GB SSD m.2 NVMe, 15,6""HD(1366х768),Intel UHD Graphics 600,без привода,WiFi+BT,HD Web Camera,FreeDOS, Eng-Rus,Iron Grey,бесшум [82C3001NAK]",23018 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_5079_7954.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 256GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",23166 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8807_5890.jpg
"Lenovo V15 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",23958 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7648_1586.jpg
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, BLACK",24156 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, PLATINUM GRAY",24156 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3552_2150.jpg
"Ноутбук Lenovo IdeaPad 1 14IGL7 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 14"" LED (1366х768), 4GB, 128GB eMMC, Intel UHD Graphics 605, WiFi, BT, Cam, Win11 HomeS, Cloud Grey [82V6001DUS]",24255 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4087_3522.jpg
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 500GB SSD m.2 NVMe, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]",24255 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_6204.jpg
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK",24552 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4801_3627.jpg
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 256GB SSD m.2 NVMe+1TB HDD, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]",24552 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4236.jpg
"Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,SSD 240GB,15.6"" FHD,RUS,DOS HDMI, BLACK",24849 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,4GB,1TB,15.6"" HD,RU, BLACK",25146 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_7987.jpg
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,4GB,SSD 240GB,15.6"" HD,RU, BLACK",25146 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_7489.jpg
"Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+256GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK]",25641 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_8598_2615.jpg
